Size, TimeSeq, TimePar,TimeBuiltIn, CPU_USAGE,RAM_USAGE,STORAGE_USAGE,N_PROCESS, ON_BATTERY,TEMPERATURE,CPU_GOVERNOR 
0, 0.000000 , 0.000758 , 0.000003 ,11,46.00,14,373,fully-charged,62.0,schedutil
1000000, 0.498776 , 0.491430 , 0.465688 ,16,46.00,14,374,fully-charged,67.0,schedutil
2000000, 1.064108 , 0.991062 , 1.198794 ,10,46.00,14,374,fully-charged,71.2,schedutil
3000000, 1.527263 , 1.493456 , 1.518511 ,10,46.00,14,374,fully-charged,73.0,schedutil
4000000, 2.211018 , 2.045674 , 2.039121 ,10,46.00,14,374,fully-charged,78.8,schedutil
5000000, 2.689079 , 2.513542 , 2.636225 ,9,46.00,14,374,fully-charged,79.5,schedutil
6000000, 3.553079 , 3.013224 , 3.250006 ,7,46.00,14,374,fully-charged,82.0,schedutil
7000000, 3.923760 , 3.710167 , 3.756559 ,11,46.00,14,374,fully-charged,81.8,schedutil
8000000, 4.365935 , 3.992317 , 4.288148 ,9,46.00,14,373,fully-charged,86.8,schedutil
9000000, 5.010962 , 4.498047 , 4.851369 ,8,46.00,14,376,fully-charged,86.0,schedutil
10000000, 5.857408 , 4.914840 , 5.468562 ,11,46.00,14,375,fully-charged,85.2,schedutil
0, 0.000000 , 0.000604 , 0.000003 ,9,46.00,14,375,fully-charged,85.2,schedutil
1000000, 0.492453 , 0.490649 , 0.458171 ,11,46.00,14,374,fully-charged,85.2,schedutil
2000000, 1.018049 , 0.946637 , 0.979821 ,10,46.00,14,374,fully-charged,87.5,schedutil
3000000, 1.653496 , 1.427843 , 1.525227 ,8,46.00,14,375,fully-charged,85.8,schedutil
4000000, 2.124731 , 2.007823 , 2.034621 ,9,46.00,14,374,fully-charged,87.0,schedutil
5000000, 2.745561 , 2.338523 , 2.613014 ,8,46.00,14,374,fully-charged,88.0,schedutil
6000000, 3.322916 , 3.070595 , 3.155394 ,9,46.00,14,374,fully-charged,87.8,schedutil
7000000, 3.800150 , 3.501978 , 3.696351 ,9,46.00,14,372,fully-charged,85.2,schedutil
8000000, 4.529165 , 4.293945 , 4.287107 ,10,46.00,14,372,fully-charged,86.8,schedutil
9000000, 4.989063 , 4.438316 , 4.920748 ,9,46.00,14,370,fully-charged,89.8,schedutil
10000000, 5.609524 , 5.181398 , 5.450622 ,9,46.00,14,370,fully-charged,89.8,schedutil
0, 0.000000 , 0.000356 , 0.000002 ,10,46.00,14,370,fully-charged,89.8,schedutil
1000000, 0.508601 , 0.504782 , 0.484719 ,20,46.00,14,370,fully-charged,90.2,schedutil
2000000, 1.030475 , 0.937134 , 0.971398 ,10,46.00,14,370,fully-charged,90.5,schedutil
3000000, 1.535196 , 1.438314 , 1.490101 ,9,46.00,14,370,fully-charged,89.5,schedutil
4000000, 2.193479 , 1.904604 , 2.025989 ,9,46.00,14,370,fully-charged,89.8,schedutil
5000000, 2.675805 , 2.444619 , 2.641593 ,10,46.00,14,370,fully-charged,89.5,schedutil
6000000, 3.339363 , 2.842717 , 3.206691 ,10,46.00,14,370,fully-charged,85.2,schedutil
7000000, 3.835271 , 3.893933 , 3.787494 ,10,46.00,14,370,fully-charged,91.0,schedutil
8000000, 4.440539 , 4.225283 , 4.285122 ,11,46.00,14,370,fully-charged,89.8,schedutil
9000000, 4.883131 , 4.571923 , 5.010831 ,9,46.00,14,370,fully-charged,88.2,schedutil
10000000, 5.689822 , 5.028324 , 5.473194 ,9,46.00,14,370,fully-charged,90.5,schedutil
0, 0.000000 , 0.000760 , 0.000007 ,9,46.00,14,370,fully-charged,84.8,schedutil
1000000, 0.482516 , 0.481145 , 0.461567 ,10,46.00,14,370,fully-charged,89.2,schedutil
2000000, 1.010076 , 1.037378 , 0.979119 ,9,46.00,14,371,fully-charged,88.5,schedutil
3000000, 1.724259 , 1.433777 , 1.511244 ,9,46.00,14,370,fully-charged,85.5,schedutil
4000000, 2.229166 , 1.923769 , 2.029492 ,19,46.00,14,370,fully-charged,89.5,schedutil
5000000, 2.613599 , 2.429237 , 2.581840 ,9,46.00,14,372,fully-charged,87.0,schedutil
6000000, 3.364180 , 2.870305 , 3.157413 ,10,46.00,14,372,fully-charged,90.2,schedutil
7000000, 3.728778 , 3.508963 , 3.729506 ,9,46.00,14,371,fully-charged,89.2,schedutil
8000000, 4.600621 , 4.747014 , 4.322052 ,21,46.00,14,372,fully-charged,88.5,schedutil
9000000, 5.243270 , 4.613368 , 4.967310 ,10,46.00,14,372,fully-charged,90.0,schedutil
10000000, 5.498374 , 5.068639 , 5.840298 ,19,46.00,14,374,fully-charged,86.8,schedutil
0, 0.000001 , 0.000605 , 0.000003 ,20,46.00,14,374,fully-charged,86.8,schedutil
1000000, 0.517232 , 0.451956 , 0.462608 ,9,46.00,14,374,fully-charged,89.0,schedutil
2000000, 1.070177 , 0.973867 , 0.977022 ,9,46.00,14,374,fully-charged,92.0,schedutil
3000000, 1.566426 , 1.497117 , 1.508521 ,15,46.00,14,375,fully-charged,87.8,schedutil
