Size, Type, Time
1000000, "Sequential", 0.280184
1000000, "Parallel", 0.217691
1000000, "Built-in", 0.277182
1000000, "Sequential", 0.275943
1000000, "Parallel", 0.218455
1000000, "Built-in", 0.290051
1000000, "Sequential", 0.278880
1000000, "Parallel", 0.220699
1000000, "Built-in", 0.275639
1000000, "Sequential", 0.272583
1000000, "Parallel", 0.231972
1000000, "Built-in", 0.275126
1000000, "Sequential", 0.292477
1000000, "Parallel", 0.225251
1000000, "Built-in", 0.297491
2000000, "Sequential", 0.577394
2000000, "Parallel", 0.422946
2000000, "Built-in", 0.567146
2000000, "Sequential", 0.566926
2000000, "Parallel", 0.387053
2000000, "Built-in", 0.571133
2000000, "Sequential", 0.567573
2000000, "Parallel", 0.421145
2000000, "Built-in", 0.612301
2000000, "Sequential", 0.600349
2000000, "Parallel", 0.409956
2000000, "Built-in", 0.579964
2000000, "Sequential", 0.597200
2000000, "Parallel", 0.424670
2000000, "Built-in", 0.573050
3000000, "Sequential", 0.901915
3000000, "Parallel", 0.612554
3000000, "Built-in", 0.887176
3000000, "Sequential", 0.897095
3000000, "Parallel", 0.580968
3000000, "Built-in", 0.887346
3000000, "Sequential", 0.874436
3000000, "Parallel", 0.592592
3000000, "Built-in", 0.881555
3000000, "Sequential", 0.868143
3000000, "Parallel", 0.611516
3000000, "Built-in", 0.920133
3000000, "Sequential", 0.925325
3000000, "Parallel", 0.568042
3000000, "Built-in", 0.904366
4000000, "Sequential", 1.222165
4000000, "Parallel", 0.777382
4000000, "Built-in", 1.216639
4000000, "Sequential", 1.201415
4000000, "Parallel", 0.826211
4000000, "Built-in", 1.207215
4000000, "Sequential", 1.225890
4000000, "Parallel", 0.764838
4000000, "Built-in", 1.307647
4000000, "Sequential", 1.194167
4000000, "Parallel", 0.783738
4000000, "Built-in", 1.206840
4000000, "Sequential", 1.184853
4000000, "Parallel", 0.780404
4000000, "Built-in", 1.207235
5000000, "Sequential", 1.520055
5000000, "Parallel", 0.952203
5000000, "Built-in", 1.536244
5000000, "Sequential", 1.544016
5000000, "Parallel", 0.965020
5000000, "Built-in", 1.540799
5000000, "Sequential", 1.516935
5000000, "Parallel", 1.017896
5000000, "Built-in", 1.562847
5000000, "Sequential", 1.501511
5000000, "Parallel", 0.983853
5000000, "Built-in", 1.551232
5000000, "Sequential", 1.556970
5000000, "Parallel", 0.979410
5000000, "Built-in", 1.543984
6000000, "Sequential", 1.900870
6000000, "Parallel", 1.202873
6000000, "Built-in", 1.900863
6000000, "Sequential", 1.865942
6000000, "Parallel", 1.138822
6000000, "Built-in", 1.940508
6000000, "Sequential", 1.836994
6000000, "Parallel", 1.159044
6000000, "Built-in", 1.863254
6000000, "Sequential", 1.842982
6000000, "Parallel", 1.166250
6000000, "Built-in", 1.845988
6000000, "Sequential", 1.993854
6000000, "Parallel", 1.156981
6000000, "Built-in", 1.878988
7000000, "Sequential", 2.195006
7000000, "Parallel", 1.374179
7000000, "Built-in", 2.194158
7000000, "Sequential", 2.176340
7000000, "Parallel", 1.373845
7000000, "Built-in", 2.250469
7000000, "Sequential", 2.183140
7000000, "Parallel", 1.332685
7000000, "Built-in", 2.206108
7000000, "Sequential", 2.166544
7000000, "Parallel", 1.471843
7000000, "Built-in", 2.190055
7000000, "Sequential", 2.166708
7000000, "Parallel", 1.334410
7000000, "Built-in", 2.265374
8000000, "Sequential", 2.504513
8000000, "Parallel", 1.520699
8000000, "Built-in", 2.499949
8000000, "Sequential", 2.474062
8000000, "Parallel", 1.514282
8000000, "Built-in", 2.577393
8000000, "Sequential", 2.565373
8000000, "Parallel", 1.580450
8000000, "Built-in", 2.528921
8000000, "Sequential", 2.623149
8000000, "Parallel", 1.508455
8000000, "Built-in", 2.536843
8000000, "Sequential", 2.476925
8000000, "Parallel", 1.538633
8000000, "Built-in", 2.531790
9000000, "Sequential", 2.847242
9000000, "Parallel", 1.736992
9000000, "Built-in", 2.856602
9000000, "Sequential", 2.857695
9000000, "Parallel", 1.732448
9000000, "Built-in", 2.886858
9000000, "Sequential", 2.790658
9000000, "Parallel", 1.694118
9000000, "Built-in", 2.881271
9000000, "Sequential", 2.815510
9000000, "Parallel", 1.672173
9000000, "Built-in", 2.867797
9000000, "Sequential", 2.827376
9000000, "Parallel", 1.766778
9000000, "Built-in", 2.856266
10000000, "Sequential", 3.176092
10000000, "Parallel", 2.013825
10000000, "Built-in", 3.217725
10000000, "Sequential", 3.245596
10000000, "Parallel", 1.925299
10000000, "Built-in", 3.202152
10000000, "Sequential", 3.190138
10000000, "Parallel", 1.934029
10000000, "Built-in", 3.200704
10000000, "Sequential", 3.179929
10000000, "Parallel", 1.985480
10000000, "Built-in", 3.223711
10000000, "Sequential", 3.198141
10000000, "Parallel", 1.855929
10000000, "Built-in", 3.201583
