Size, Type, Time
1000000, "Sequential", 0.304326
1000000, "Parallel", 0.216693
1000000, "Built-in", 0.279771
1000000, "Sequential", 0.289405
1000000, "Parallel", 0.241755
1000000, "Built-in", 0.282971
1000000, "Sequential", 0.288280
1000000, "Parallel", 0.226352
1000000, "Built-in", 0.274580
1000000, "Sequential", 0.286298
1000000, "Parallel", 0.245867
1000000, "Built-in", 0.271046
1000000, "Sequential", 0.283657
1000000, "Parallel", 0.222718
1000000, "Built-in", 0.273431
2000000, "Sequential", 0.597538
2000000, "Parallel", 0.397552
2000000, "Built-in", 0.579435
2000000, "Sequential", 0.601479
2000000, "Parallel", 0.434438
2000000, "Built-in", 0.573593
2000000, "Sequential", 0.600603
2000000, "Parallel", 0.421064
2000000, "Built-in", 0.591098
2000000, "Sequential", 0.628404
2000000, "Parallel", 0.391332
2000000, "Built-in", 0.583911
2000000, "Sequential", 0.615142
2000000, "Parallel", 0.423305
2000000, "Built-in", 0.575565
3000000, "Sequential", 0.908989
3000000, "Parallel", 0.620495
3000000, "Built-in", 0.902017
3000000, "Sequential", 0.897615
3000000, "Parallel", 0.593748
3000000, "Built-in", 0.900490
3000000, "Sequential", 0.892287
3000000, "Parallel", 0.580345
3000000, "Built-in", 0.897413
3000000, "Sequential", 0.897473
3000000, "Parallel", 0.585561
3000000, "Built-in", 0.886068
3000000, "Sequential", 0.927128
3000000, "Parallel", 0.589640
3000000, "Built-in", 0.897320
4000000, "Sequential", 1.235523
4000000, "Parallel", 0.803128
4000000, "Built-in", 1.259115
4000000, "Sequential", 1.254671
4000000, "Parallel", 0.796709
4000000, "Built-in", 1.185547
4000000, "Sequential", 1.243433
4000000, "Parallel", 0.780099
4000000, "Built-in", 1.230000
4000000, "Sequential", 1.255886
4000000, "Parallel", 0.784198
4000000, "Built-in", 1.216085
4000000, "Sequential", 1.220970
4000000, "Parallel", 0.780528
4000000, "Built-in", 1.238536
5000000, "Sequential", 1.566616
5000000, "Parallel", 0.966359
5000000, "Built-in", 1.551070
5000000, "Sequential", 1.600295
5000000, "Parallel", 0.962165
5000000, "Built-in", 1.557769
5000000, "Sequential", 1.581545
5000000, "Parallel", 0.985112
5000000, "Built-in", 1.539524
5000000, "Sequential", 1.559088
5000000, "Parallel", 0.997479
5000000, "Built-in", 1.558547
5000000, "Sequential", 1.533692
5000000, "Parallel", 1.016204
5000000, "Built-in", 1.550641
6000000, "Sequential", 1.864535
6000000, "Parallel", 1.155623
6000000, "Built-in", 1.912801
6000000, "Sequential", 1.915146
6000000, "Parallel", 1.187782
6000000, "Built-in", 1.866083
6000000, "Sequential", 1.865583
6000000, "Parallel", 1.187891
6000000, "Built-in", 1.898897
6000000, "Sequential", 1.850757
6000000, "Parallel", 1.168501
6000000, "Built-in", 1.861379
6000000, "Sequential", 1.836609
6000000, "Parallel", 1.120577
6000000, "Built-in", 1.900634
7000000, "Sequential", 2.243610
7000000, "Parallel", 1.359416
7000000, "Built-in", 2.293125
7000000, "Sequential", 2.189286
7000000, "Parallel", 1.378608
7000000, "Built-in", 2.284005
7000000, "Sequential", 2.288553
7000000, "Parallel", 1.307725
7000000, "Built-in", 2.213805
7000000, "Sequential", 2.166176
7000000, "Parallel", 1.316550
7000000, "Built-in", 2.227153
7000000, "Sequential", 2.186944
7000000, "Parallel", 1.325749
7000000, "Built-in", 2.266504
8000000, "Sequential", 2.586262
8000000, "Parallel", 1.560117
8000000, "Built-in", 2.547214
8000000, "Sequential", 2.522707
8000000, "Parallel", 1.533700
8000000, "Built-in", 2.543608
8000000, "Sequential", 2.500218
8000000, "Parallel", 1.549727
8000000, "Built-in", 2.520222
8000000, "Sequential", 2.613845
8000000, "Parallel", 1.662531
8000000, "Built-in", 2.630029
8000000, "Sequential", 2.595381
8000000, "Parallel", 1.510460
8000000, "Built-in", 2.575769
9000000, "Sequential", 2.891173
9000000, "Parallel", 1.666778
9000000, "Built-in", 2.950631
9000000, "Sequential", 2.870111
9000000, "Parallel", 1.650724
9000000, "Built-in", 2.891738
9000000, "Sequential", 2.854091
9000000, "Parallel", 1.650919
9000000, "Built-in", 3.033692
9000000, "Sequential", 2.853676
9000000, "Parallel", 1.745129
9000000, "Built-in", 2.944331
9000000, "Sequential", 3.130463
9000000, "Parallel", 1.748646
9000000, "Built-in", 3.007345
10000000, "Sequential", 3.290858
10000000, "Parallel", 2.091309
10000000, "Built-in", 3.761395
10000000, "Sequential", 4.456183
10000000, "Parallel", 2.427913
10000000, "Built-in", 4.201076
10000000, "Sequential", 4.380744
10000000, "Parallel", 2.644581
10000000, "Built-in", 4.541698
10000000, "Sequential", 4.222655
10000000, "Parallel", 2.344095
10000000, "Built-in", 5.085458
10000000, "Sequential", 4.141554
10000000, "Parallel", 2.163459
10000000, "Built-in", 4.677159
